,NUM_AGE,COUNT
0,18,195
1,19,222
2,20,285
3,21,256
4,22,257
5,23,273
6,24,268
7,25,270
8,26,254
9,27,263
10,28,211
11,29,187
12,30,173
13,31,136
14,32,137
15,33,134
16,34,102
17,35,110
18,36,102
19,37,78
20,38,83
21,39,75
22,40,84
23,41,64
24,42,67
25,43,72
26,44,52
27,45,59
28,46,68
29,47,48
30,48,35
31,49,36
32,50,34
33,51,24
34,52,26
35,53,25
36,54,25
37,55,22
38,56,20
39,57,13
40,58,10
41,59,13
42,60,10
43,61,13
44,62,14
45,63,12
46,64,6
47,65,6
48,66,14
49,67,7
50,68,3
51,69,6
52,70,12
53,71,10
54,72,1
55,73,7
56,74,3
57,75,3
58,76,2
59,80,1
60,83,1
61,84,1
