CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET
18100,22000,8000.0000,"Česká spořitelna, a.s.",37,Muž,0,178,40,0,1,450,0
79501,28000,10000.0000,"Komerční banka, a.s.",58,Muž,0,85,88,0,1,7100,0
69661,10800,1000.0000,"Československá obchodní banka, a.s.",32,Muž,1,131,16,0,1,750,0
43111,10000,6000.0000,"Československá obchodní banka, a.s.",24,Žena,1,78,50,1,1,0,0
74201,32000,8000.0000,"Česká spořitelna, a.s.",34,Muž,1,109,92,0,1,1950,0
74706,18200,5000.0000,Equa bank a.s.,24,Žena,1,86,28,1,1,300,0
56501,26000,10000.0000,"Československá obchodní banka, a.s.",46,Muž,0,85,40,0,1,2550,0
41501,26000,8000.0000,"MONETA Money Bank, a.s.",29,Muž,1,89,13,0,1,1500,0
73601,25000,10000.0000,"Komerční banka, a.s.",28,Muž,1,89,15,0,1,150,0
79399,20000,5000.0000,Raiffeisenbank a.s.,21,Muž,0,84,22,0,1,350,0
78832,13500,10000.0000,"MONETA Money Bank, a.s.",19,Žena,1,188,42,0,3,0,0
73911,15000,7000.0000,"Česká spořitelna, a.s.",40,Žena,0,91,50,0,1,3550,0
75615,23000,10000.0000,"Československá obchodní banka, a.s.",21,Muž,0,81,88,0,1,150,0
69671,35000,5000.0000,"Komerční banka, a.s.",23,Muž,1,46,89,0,1,0,0
61200,20000,1000.0000,"Česká spořitelna, a.s.",18,Muž,0,195,67,1,3,0,0
53002,27000,10000.0000,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0
55001,20000,10000.0000,"Česká spořitelna, a.s.",23,Muž,1,185,67,1,0,1550,0
28002,23000,8000.0000,"MONETA Money Bank, a.s.",23,Muž,1,193,73,0,1,1300,0
76001,24000,7000.0000,"Česká spořitelna, a.s.",30,Muž,1,84,91,0,1,4200,0
41501,17000,10000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",32,Muž,1,188,15,1,1,2200,0
50012,12000,2000.0000,"Česká spořitelna, a.s.",20,Muž,1,46,92,0,1,0,0
19800,28000,2000.0000,Air Bank a.s.,53,Žena,1,37,90,0,1,2050,0
