,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,AGE_RANGE,SCORE,GENDER
0,18100,22000,8000.0,"Česká spořitelna, a.s.",37,Muž,0,178,40,0,1,450,0,30 - 42,2488.7861500000004,0
1,79501,28000,10000.0,"Komerční banka, a.s.",58,Muž,0,85,88,0,1,7100,0,56 - 68,-4414.853786,0
2,69661,10800,1000.0,"Československá obchodní banka, a.s.",32,Muž,1,131,16,0,1,750,0,30 - 42,-487.42483799999997,0
3,43111,10000,6000.0,"Československá obchodní banka, a.s.",24,Žena,1,78,50,1,1,0,0,18 - 29,2255.363036,1
4,74201,32000,8000.0,"Česká spořitelna, a.s.",34,Muž,1,109,92,0,1,1950,0,30 - 42,762.0975620000004,0
5,74706,18200,5000.0,Equa bank a.s.,24,Žena,1,86,28,1,1,300,0,18 - 29,1534.1451360000003,1
6,56501,26000,10000.0,"Československá obchodní banka, a.s.",46,Muž,0,85,40,0,1,2550,0,43 - 55,823.0809040000004,0
7,41501,26000,8000.0,"MONETA Money Bank, a.s.",29,Muž,1,89,13,0,1,1500,0,30 - 42,1280.1434120000004,0
8,73601,25000,10000.0,"Komerční banka, a.s.",28,Muž,1,89,15,0,1,150,0,18 - 29,3585.9889620000004,0
9,79399,20000,5000.0,Raiffeisenbank a.s.,21,Muž,0,84,22,0,1,350,0,18 - 29,1476.3454500000003,0
10,78832,13500,10000.0,"MONETA Money Bank, a.s.",19,Žena,1,188,42,0,3,0,0,18 - 29,3758.6709120000005,1
11,73911,15000,7000.0,"Česká spořitelna, a.s.",40,Žena,0,91,50,0,1,3550,0,30 - 42,-1455.8281500000003,1
12,75615,23000,10000.0,"Československá obchodní banka, a.s.",21,Muž,0,81,88,0,1,150,0,18 - 29,3585.8580500000003,0
