,NUM_AGE,TEXT_BANK,TARGET,COUNT
0,18,Air Bank a.s.,0,20.0
1,18,Air Bank a.s.,1,11.0
2,18,"BNP Paribas Personal Finance SA, odštěpný závod",0,0.0
3,18,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
4,18,Banka CREDITAS a.s.,0,0.0
5,18,Equa bank a.s.,0,8.0
6,18,Equa bank a.s.,1,1.0
7,18,"Fio banka, a.s.",0,2.0
8,18,"Fio banka, a.s.",1,3.0
9,18,"Komerční banka, a.s.",0,14.0
10,18,"Komerční banka, a.s.",1,2.0
11,18,"MONETA Money Bank, a.s.",0,14.0
12,18,"MONETA Money Bank, a.s.",1,3.0
13,18,Raiffeisenbank a.s.,0,10.0
14,18,Raiffeisenbank a.s.,1,3.0
15,18,"Sberbank CZ, a.s.",0,0.0
16,18,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,6.0
17,18,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,7.0
18,18,Waldviertler Sparkasse Bank AG,0,0.0
19,18,"mBank S.A., organizační složka",0,5.0
20,18,"mBank S.A., organizační složka",1,1.0
21,18,"Československá obchodní banka, a.s.",0,19.0
22,18,"Československá obchodní banka, a.s.",1,6.0
23,18,"Česká spořitelna, a.s.",0,44.0
24,18,"Česká spořitelna, a.s.",1,16.0
25,19,Air Bank a.s.,0,28.0
26,19,Air Bank a.s.,1,8.0
27,19,"BNP Paribas Personal Finance SA, odštěpný závod",0,0.0
28,19,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
29,19,Banka CREDITAS a.s.,0,0.0
30,19,Equa bank a.s.,0,13.0
31,19,Equa bank a.s.,1,0.0
32,19,"Fio banka, a.s.",0,7.0
33,19,"Fio banka, a.s.",1,1.0
34,19,"Komerční banka, a.s.",0,16.0
35,19,"Komerční banka, a.s.",1,4.0
36,19,"MONETA Money Bank, a.s.",0,30.0
37,19,"MONETA Money Bank, a.s.",1,8.0
38,19,Raiffeisenbank a.s.,0,11.0
39,19,Raiffeisenbank a.s.,1,0.0
40,19,"Sberbank CZ, a.s.",0,0.0
41,19,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,11.0
42,19,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1.0
43,19,Waldviertler Sparkasse Bank AG,0,0.0
44,19,"mBank S.A., organizační složka",0,6.0
45,19,"mBank S.A., organizační složka",1,0.0
46,19,"Československá obchodní banka, a.s.",0,28.0
47,19,"Československá obchodní banka, a.s.",1,1.0
48,19,"Česká spořitelna, a.s.",0,39.0
49,19,"Česká spořitelna, a.s.",1,10.0
50,20,Air Bank a.s.,0,30.0
51,20,Air Bank a.s.,1,6.0
52,20,"BNP Paribas Personal Finance SA, odštěpný závod",0,0.0
53,20,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
54,20,Banka CREDITAS a.s.,0,0.0
55,20,Equa bank a.s.,0,25.0
56,20,Equa bank a.s.,1,3.0
57,20,"Fio banka, a.s.",0,11.0
58,20,"Fio banka, a.s.",1,2.0
59,20,"Komerční banka, a.s.",0,21.0
60,20,"Komerční banka, a.s.",1,4.0
61,20,"MONETA Money Bank, a.s.",0,29.0
62,20,"MONETA Money Bank, a.s.",1,4.0
63,20,Raiffeisenbank a.s.,0,13.0
64,20,Raiffeisenbank a.s.,1,2.0
65,20,"Sberbank CZ, a.s.",0,0.0
66,20,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,16.0
67,20,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0.0
68,20,Waldviertler Sparkasse Bank AG,0,0.0
69,20,"mBank S.A., organizační složka",0,6.0
70,20,"mBank S.A., organizační složka",1,0.0
71,20,"Československá obchodní banka, a.s.",0,34.0
72,20,"Československá obchodní banka, a.s.",1,6.0
73,20,"Česká spořitelna, a.s.",0,66.0
74,20,"Česká spořitelna, a.s.",1,6.0
75,21,Air Bank a.s.,0,35.0
76,21,Air Bank a.s.,1,1.0
77,21,"BNP Paribas Personal Finance SA, odštěpný závod",0,0.0
78,21,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
79,21,Banka CREDITAS a.s.,0,0.0
80,21,Equa bank a.s.,0,24.0
81,21,Equa bank a.s.,1,3.0
82,21,"Fio banka, a.s.",0,12.0
83,21,"Fio banka, a.s.",1,1.0
84,21,"Komerční banka, a.s.",0,26.0
85,21,"Komerční banka, a.s.",1,3.0
86,21,"MONETA Money Bank, a.s.",0,24.0
87,21,"MONETA Money Bank, a.s.",1,2.0
88,21,Raiffeisenbank a.s.,0,11.0
89,21,Raiffeisenbank a.s.,1,0.0
90,21,"Sberbank CZ, a.s.",0,0.0
91,21,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,12.0
92,21,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,2.0
93,21,Waldviertler Sparkasse Bank AG,0,0.0
94,21,"mBank S.A., organizační složka",0,5.0
95,21,"mBank S.A., organizační složka",1,0.0
96,21,"Československá obchodní banka, a.s.",0,23.0
97,21,"Československá obchodní banka, a.s.",1,4.0
98,21,"Česká spořitelna, a.s.",0,57.0
99,21,"Česká spořitelna, a.s.",1,8.0
100,22,Air Bank a.s.,0,44.0
101,22,Air Bank a.s.,1,7.0
102,22,"BNP Paribas Personal Finance SA, odštěpný závod",0,0.0
103,22,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
104,22,Banka CREDITAS a.s.,0,0.0
105,22,Equa bank a.s.,0,19.0
106,22,Equa bank a.s.,1,1.0
107,22,"Fio banka, a.s.",0,11.0
108,22,"Fio banka, a.s.",1,3.0
109,22,"Komerční banka, a.s.",0,20.0
110,22,"Komerční banka, a.s.",1,2.0
111,22,"MONETA Money Bank, a.s.",0,28.0
112,22,"MONETA Money Bank, a.s.",1,1.0
113,22,Raiffeisenbank a.s.,0,6.0
114,22,Raiffeisenbank a.s.,1,1.0
115,22,"Sberbank CZ, a.s.",0,0.0
116,22,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,7.0
117,22,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1.0
118,22,Waldviertler Sparkasse Bank AG,0,0.0
119,22,"mBank S.A., organizační složka",0,8.0
120,22,"mBank S.A., organizační složka",1,0.0
121,22,"Československá obchodní banka, a.s.",0,28.0
122,22,"Československá obchodní banka, a.s.",1,2.0
123,22,"Česká spořitelna, a.s.",0,63.0
124,22,"Česká spořitelna, a.s.",1,2.0
125,23,Air Bank a.s.,0,31.0
126,23,Air Bank a.s.,1,1.0
127,23,"BNP Paribas Personal Finance SA, odštěpný závod",0,1.0
128,23,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
129,23,Banka CREDITAS a.s.,0,0.0
130,23,Equa bank a.s.,0,17.0
131,23,Equa bank a.s.,1,4.0
132,23,"Fio banka, a.s.",0,11.0
133,23,"Fio banka, a.s.",1,0.0
134,23,"Komerční banka, a.s.",0,23.0
135,23,"Komerční banka, a.s.",1,4.0
136,23,"MONETA Money Bank, a.s.",0,44.0
137,23,"MONETA Money Bank, a.s.",1,8.0
138,23,Raiffeisenbank a.s.,0,7.0
139,23,Raiffeisenbank a.s.,1,1.0
140,23,"Sberbank CZ, a.s.",0,0.0
141,23,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,4.0
142,23,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1.0
143,23,Waldviertler Sparkasse Bank AG,0,0.0
144,23,"mBank S.A., organizační složka",0,6.0
145,23,"mBank S.A., organizační složka",1,2.0
146,23,"Československá obchodní banka, a.s.",0,30.0
147,23,"Československá obchodní banka, a.s.",1,1.0
148,23,"Česká spořitelna, a.s.",0,67.0
149,23,"Česká spořitelna, a.s.",1,9.0
150,24,Air Bank a.s.,0,35.0
151,24,Air Bank a.s.,1,4.0
152,24,"BNP Paribas Personal Finance SA, odštěpný závod",0,1.0
153,24,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
154,24,Banka CREDITAS a.s.,0,0.0
155,24,Equa bank a.s.,0,25.0
156,24,Equa bank a.s.,1,2.0
157,24,"Fio banka, a.s.",0,21.0
158,24,"Fio banka, a.s.",1,0.0
159,24,"Komerční banka, a.s.",0,18.0
160,24,"Komerční banka, a.s.",1,2.0
161,24,"MONETA Money Bank, a.s.",0,38.0
162,24,"MONETA Money Bank, a.s.",1,6.0
163,24,Raiffeisenbank a.s.,0,9.0
164,24,Raiffeisenbank a.s.,1,1.0
165,24,"Sberbank CZ, a.s.",0,0.0
166,24,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,8.0
167,24,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1.0
168,24,Waldviertler Sparkasse Bank AG,0,0.0
169,24,"mBank S.A., organizační složka",0,5.0
170,24,"mBank S.A., organizační složka",1,0.0
171,24,"Československá obchodní banka, a.s.",0,31.0
172,24,"Československá obchodní banka, a.s.",1,0.0
173,24,"Česká spořitelna, a.s.",0,56.0
174,24,"Česká spořitelna, a.s.",1,5.0
175,25,Air Bank a.s.,0,37.0
176,25,Air Bank a.s.,1,5.0
177,25,"BNP Paribas Personal Finance SA, odštěpný závod",0,0.0
178,25,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
179,25,Banka CREDITAS a.s.,0,1.0
180,25,Equa bank a.s.,0,20.0
181,25,Equa bank a.s.,1,1.0
182,25,"Fio banka, a.s.",0,14.0
183,25,"Fio banka, a.s.",1,3.0
184,25,"Komerční banka, a.s.",0,17.0
185,25,"Komerční banka, a.s.",1,3.0
186,25,"MONETA Money Bank, a.s.",0,47.0
187,25,"MONETA Money Bank, a.s.",1,3.0
188,25,Raiffeisenbank a.s.,0,9.0
189,25,Raiffeisenbank a.s.,1,2.0
190,25,"Sberbank CZ, a.s.",0,1.0
191,25,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,10.0
192,25,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1.0
193,25,Waldviertler Sparkasse Bank AG,0,1.0
194,25,"mBank S.A., organizační složka",0,9.0
195,25,"mBank S.A., organizační složka",1,0.0
196,25,"Československá obchodní banka, a.s.",0,24.0
197,25,"Československá obchodní banka, a.s.",1,0.0
198,25,"Česká spořitelna, a.s.",0,56.0
199,25,"Česká spořitelna, a.s.",1,5.0
200,26,Air Bank a.s.,0,37.0
201,26,Air Bank a.s.,1,2.0
202,26,"BNP Paribas Personal Finance SA, odštěpný závod",0,0.0
203,26,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
204,26,Banka CREDITAS a.s.,0,0.0
205,26,Equa bank a.s.,0,13.0
206,26,Equa bank a.s.,1,2.0
207,26,"Fio banka, a.s.",0,18.0
208,26,"Fio banka, a.s.",1,0.0
209,26,"Komerční banka, a.s.",0,28.0
210,26,"Komerční banka, a.s.",1,5.0
211,26,"MONETA Money Bank, a.s.",0,33.0
212,26,"MONETA Money Bank, a.s.",1,1.0
213,26,Raiffeisenbank a.s.,0,9.0
214,26,Raiffeisenbank a.s.,1,1.0
215,26,"Sberbank CZ, a.s.",0,2.0
216,26,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,5.0
217,26,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1.0
218,26,Waldviertler Sparkasse Bank AG,0,0.0
219,26,"mBank S.A., organizační složka",0,7.0
220,26,"mBank S.A., organizační složka",1,1.0
221,26,"Československá obchodní banka, a.s.",0,26.0
222,26,"Československá obchodní banka, a.s.",1,4.0
223,26,"Česká spořitelna, a.s.",0,50.0
224,26,"Česká spořitelna, a.s.",1,8.0
225,27,Air Bank a.s.,0,28.0
226,27,Air Bank a.s.,1,4.0
227,27,"BNP Paribas Personal Finance SA, odštěpný závod",0,1.0
228,27,"BNP Paribas Personal Finance SA, odštěpný závod",1,1.0
229,27,Banka CREDITAS a.s.,0,0.0
230,27,Equa bank a.s.,0,25.0
231,27,Equa bank a.s.,1,0.0
232,27,"Fio banka, a.s.",0,12.0
233,27,"Fio banka, a.s.",1,1.0
234,27,"Komerční banka, a.s.",0,28.0
235,27,"Komerční banka, a.s.",1,0.0
236,27,"MONETA Money Bank, a.s.",0,32.0
237,27,"MONETA Money Bank, a.s.",1,1.0
238,27,Raiffeisenbank a.s.,0,13.0
239,27,Raiffeisenbank a.s.,1,3.0
240,27,"Sberbank CZ, a.s.",0,0.0
241,27,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,5.0
242,27,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,1.0
243,27,Waldviertler Sparkasse Bank AG,0,1.0
244,27,"mBank S.A., organizační složka",0,9.0
245,27,"mBank S.A., organizační složka",1,0.0
246,27,"Československá obchodní banka, a.s.",0,28.0
247,27,"Československá obchodní banka, a.s.",1,2.0
248,27,"Česká spořitelna, a.s.",0,62.0
249,27,"Česká spořitelna, a.s.",1,5.0
250,28,Air Bank a.s.,0,27.0
251,28,Air Bank a.s.,1,3.0
252,28,"BNP Paribas Personal Finance SA, odštěpný závod",0,1.0
253,28,"BNP Paribas Personal Finance SA, odštěpný závod",1,1.0
254,28,Banka CREDITAS a.s.,0,0.0
255,28,Equa bank a.s.,0,16.0
256,28,Equa bank a.s.,1,2.0
257,28,"Fio banka, a.s.",0,10.0
258,28,"Fio banka, a.s.",1,1.0
259,28,"Komerční banka, a.s.",0,24.0
260,28,"Komerční banka, a.s.",1,0.0
261,28,"MONETA Money Bank, a.s.",0,29.0
262,28,"MONETA Money Bank, a.s.",1,2.0
263,28,Raiffeisenbank a.s.,0,11.0
264,28,Raiffeisenbank a.s.,1,1.0
265,28,"Sberbank CZ, a.s.",0,1.0
266,28,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,6.0
267,28,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0.0
268,28,Waldviertler Sparkasse Bank AG,0,0.0
269,28,"mBank S.A., organizační složka",0,4.0
270,28,"mBank S.A., organizační složka",1,0.0
271,28,"Československá obchodní banka, a.s.",0,20.0
272,28,"Československá obchodní banka, a.s.",1,0.0
273,28,"Česká spořitelna, a.s.",0,44.0
274,28,"Česká spořitelna, a.s.",1,5.0
275,29,Air Bank a.s.,0,29.0
276,29,Air Bank a.s.,1,1.0
277,29,"BNP Paribas Personal Finance SA, odštěpný závod",0,0.0
278,29,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
279,29,Banka CREDITAS a.s.,0,0.0
280,29,Equa bank a.s.,0,12.0
281,29,Equa bank a.s.,1,2.0
282,29,"Fio banka, a.s.",0,9.0
283,29,"Fio banka, a.s.",1,1.0
284,29,"Komerční banka, a.s.",0,15.0
285,29,"Komerční banka, a.s.",1,1.0
286,29,"MONETA Money Bank, a.s.",0,23.0
287,29,"MONETA Money Bank, a.s.",1,1.0
288,29,Raiffeisenbank a.s.,0,10.0
289,29,Raiffeisenbank a.s.,1,4.0
290,29,"Sberbank CZ, a.s.",0,0.0
291,29,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,8.0
292,29,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0.0
293,29,Waldviertler Sparkasse Bank AG,0,0.0
294,29,"mBank S.A., organizační složka",0,4.0
295,29,"mBank S.A., organizační složka",1,3.0
296,29,"Československá obchodní banka, a.s.",0,22.0
297,29,"Československá obchodní banka, a.s.",1,1.0
298,29,"Česká spořitelna, a.s.",0,38.0
299,29,"Česká spořitelna, a.s.",1,2.0
300,30,Air Bank a.s.,0,21.0
301,30,Air Bank a.s.,1,3.0
302,30,"BNP Paribas Personal Finance SA, odštěpný závod",0,1.0
303,30,"BNP Paribas Personal Finance SA, odštěpný závod",1,0.0
304,30,Banka CREDITAS a.s.,0,0.0
305,30,Equa bank a.s.,0,10.0
306,30,Equa bank a.s.,1,1.0
307,30,"Fio banka, a.s.",0,7.0
308,30,"Fio banka, a.s.",1,0.0
309,30,"Komerční banka, a.s.",0,17.0
310,30,"Komerční banka, a.s.",1,3.0
311,30,"MONETA Money Bank, a.s.",0,28.0
312,30,"MONETA Money Bank, a.s.",1,4.0
313,30,Raiffeisenbank a.s.,0,4.0
