,NUM_AGE,TEXT_BANK,COUNT_0,COUNT_1
0,18,Air Bank a.s.,20,11
1,18,Equa bank a.s.,8,1
2,18,"Fio banka, a.s.",2,3
3,18,"Komerční banka, a.s.",14,2
4,18,"MONETA Money Bank, a.s.",14,3
5,18,Raiffeisenbank a.s.,10,3
6,18,"UniCredit Bank Czech Republic and Slovakia, a.s.",6,7
7,18,"mBank S.A., organizační složka",5,1
8,18,"Československá obchodní banka, a.s.",19,6
9,18,"Česká spořitelna, a.s.",44,16
10,19,Air Bank a.s.,28,8
11,19,Equa bank a.s.,13,0
12,19,"Fio banka, a.s.",7,1
13,19,"Komerční banka, a.s.",16,4
14,19,"MONETA Money Bank, a.s.",30,8
15,19,Raiffeisenbank a.s.,11,0
16,19,"UniCredit Bank Czech Republic and Slovakia, a.s.",11,1
17,19,"mBank S.A., organizační složka",6,0
18,19,"Československá obchodní banka, a.s.",28,1
19,19,"Česká spořitelna, a.s.",39,10
20,20,Air Bank a.s.,30,6
21,20,Anonymous Bank,0,1
22,20,Equa bank a.s.,25,3
23,20,"Fio banka, a.s.",11,2
24,20,"Komerční banka, a.s.",21,4
25,20,"MONETA Money Bank, a.s.",29,4
26,20,Raiffeisenbank a.s.,13,2
27,20,"UniCredit Bank Czech Republic and Slovakia, a.s.",16,0
28,20,"mBank S.A., organizační složka",6,0
29,20,"Československá obchodní banka, a.s.",34,6
30,20,"Česká spořitelna, a.s.",66,6
31,21,Air Bank a.s.,35,1
32,21,Anonymous Bank,3,0
33,21,Equa bank a.s.,24,3
34,21,"Fio banka, a.s.",12,1
35,21,"Komerční banka, a.s.",26,3
36,21,"MONETA Money Bank, a.s.",24,2
37,21,Raiffeisenbank a.s.,11,0
38,21,"UniCredit Bank Czech Republic and Slovakia, a.s.",12,2
39,21,"mBank S.A., organizační složka",5,0
40,21,"Československá obchodní banka, a.s.",23,4
41,21,"Česká spořitelna, a.s.",57,8
42,22,Air Bank a.s.,44,7
43,22,Anonymous Bank,1,2
44,22,Equa bank a.s.,19,1
45,22,"Fio banka, a.s.",11,3
46,22,"Komerční banka, a.s.",20,2
47,22,"MONETA Money Bank, a.s.",28,1
48,22,Raiffeisenbank a.s.,6,1
49,22,"UniCredit Bank Czech Republic and Slovakia, a.s.",7,1
50,22,"mBank S.A., organizační složka",8,0
51,22,"Československá obchodní banka, a.s.",28,2
52,22,"Česká spořitelna, a.s.",63,2
53,23,Air Bank a.s.,31,1
54,23,Anonymous Bank,1,0
55,23,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
56,23,Equa bank a.s.,17,4
57,23,"Fio banka, a.s.",11,0
58,23,"Komerční banka, a.s.",23,4
59,23,"MONETA Money Bank, a.s.",44,8
60,23,Raiffeisenbank a.s.,7,1
61,23,"UniCredit Bank Czech Republic and Slovakia, a.s.",4,1
62,23,"mBank S.A., organizační složka",6,2
63,23,"Československá obchodní banka, a.s.",30,1
64,23,"Česká spořitelna, a.s.",67,9
65,24,Air Bank a.s.,35,4
66,24,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
67,24,Equa bank a.s.,25,2
68,24,"Fio banka, a.s.",21,0
69,24,"Komerční banka, a.s.",18,2
70,24,"MONETA Money Bank, a.s.",38,6
71,24,Raiffeisenbank a.s.,9,1
72,24,"UniCredit Bank Czech Republic and Slovakia, a.s.",8,1
73,24,"mBank S.A., organizační složka",5,0
74,24,"Československá obchodní banka, a.s.",31,0
75,24,"Česká spořitelna, a.s.",56,5
76,25,Air Bank a.s.,37,5
77,25,Anonymous Bank,1,0
78,25,Banka CREDITAS a.s.,1,0
79,25,Equa bank a.s.,20,1
80,25,"Fio banka, a.s.",14,3
81,25,"Komerční banka, a.s.",17,3
82,25,"MONETA Money Bank, a.s.",47,3
83,25,Raiffeisenbank a.s.,9,2
84,25,"Sberbank CZ, a.s.",1,0
85,25,"UniCredit Bank Czech Republic and Slovakia, a.s.",10,1
86,25,Waldviertler Sparkasse Bank AG,1,0
87,25,"mBank S.A., organizační složka",9,0
88,25,"Československá obchodní banka, a.s.",24,0
89,25,"Česká spořitelna, a.s.",56,5
90,26,Air Bank a.s.,37,2
91,26,Anonymous Bank,1,0
92,26,Equa bank a.s.,13,2
93,26,"Fio banka, a.s.",18,0
94,26,"Komerční banka, a.s.",28,5
95,26,"MONETA Money Bank, a.s.",33,1
96,26,Raiffeisenbank a.s.,9,1
97,26,"Sberbank CZ, a.s.",2,0
98,26,"UniCredit Bank Czech Republic and Slovakia, a.s.",5,1
99,26,"mBank S.A., organizační složka",7,1
100,26,"Československá obchodní banka, a.s.",26,4
101,26,"Česká spořitelna, a.s.",50,8
102,27,Air Bank a.s.,28,4
103,27,Anonymous Bank,1,0
104,27,"BNP Paribas Personal Finance SA, odštěpný závod",1,1
105,27,Equa bank a.s.,25,0
106,27,"Fio banka, a.s.",12,1
107,27,"Komerční banka, a.s.",28,0
108,27,"MONETA Money Bank, a.s.",32,1
109,27,Raiffeisenbank a.s.,13,3
110,27,"UniCredit Bank Czech Republic and Slovakia, a.s.",5,1
111,27,Waldviertler Sparkasse Bank AG,1,0
112,27,"mBank S.A., organizační složka",9,0
113,27,"Československá obchodní banka, a.s.",28,2
114,27,"Česká spořitelna, a.s.",62,5
115,28,Air Bank a.s.,27,3
116,28,Anonymous Bank,1,2
117,28,"BNP Paribas Personal Finance SA, odštěpný závod",1,1
118,28,Equa bank a.s.,16,2
119,28,"Fio banka, a.s.",10,1
120,28,"Komerční banka, a.s.",24,0
121,28,"MONETA Money Bank, a.s.",29,2
122,28,Raiffeisenbank a.s.,11,1
123,28,"Sberbank CZ, a.s.",1,0
124,28,"UniCredit Bank Czech Republic and Slovakia, a.s.",6,0
125,28,"mBank S.A., organizační složka",4,0
126,28,"Československá obchodní banka, a.s.",20,0
127,28,"Česká spořitelna, a.s.",44,5
128,29,Air Bank a.s.,29,1
129,29,Anonymous Bank,0,1
130,29,Equa bank a.s.,12,2
131,29,"Fio banka, a.s.",9,1
132,29,"Komerční banka, a.s.",15,1
133,29,"MONETA Money Bank, a.s.",23,1
134,29,Raiffeisenbank a.s.,10,4
135,29,"UniCredit Bank Czech Republic and Slovakia, a.s.",8,0
136,29,"mBank S.A., organizační složka",4,3
137,29,"Československá obchodní banka, a.s.",22,1
138,29,"Česká spořitelna, a.s.",38,2
139,30,Air Bank a.s.,21,3
140,30,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
141,30,Equa bank a.s.,10,1
142,30,"Fio banka, a.s.",7,0
143,30,"Komerční banka, a.s.",17,3
144,30,"MONETA Money Bank, a.s.",28,4
145,30,Raiffeisenbank a.s.,4,1
146,30,"UniCredit Bank Czech Republic and Slovakia, a.s.",7,0
147,30,"mBank S.A., organizační složka",5,0
148,30,"Československá obchodní banka, a.s.",17,2
149,30,"Česká spořitelna, a.s.",41,1
150,31,Air Bank a.s.,20,2
151,31,Anonymous Bank,1,0
152,31,Equa bank a.s.,7,0
153,31,"Fio banka, a.s.",6,0
154,31,"Komerční banka, a.s.",15,1
155,31,"MONETA Money Bank, a.s.",16,0
156,31,Raiffeisenbank a.s.,13,1
157,31,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
158,31,"mBank S.A., organizační složka",3,0
159,31,"Československá obchodní banka, a.s.",13,1
160,31,"Česká spořitelna, a.s.",33,3
161,32,Air Bank a.s.,25,1
162,32,Anonymous Bank,0,1
163,32,Equa bank a.s.,7,0
164,32,"Fio banka, a.s.",2,2
165,32,"Komerční banka, a.s.",12,1
166,32,"MONETA Money Bank, a.s.",11,4
167,32,Raiffeisenbank a.s.,7,1
168,32,"UniCredit Bank Czech Republic and Slovakia, a.s.",7,0
169,32,Waldviertler Sparkasse Bank AG,1,0
170,32,"mBank S.A., organizační složka",5,0
171,32,"Československá obchodní banka, a.s.",19,0
172,32,"Česká spořitelna, a.s.",27,4
173,33,Air Bank a.s.,24,1
174,33,Equa bank a.s.,6,1
175,33,"Fio banka, a.s.",9,1
176,33,"Komerční banka, a.s.",18,0
177,33,"MONETA Money Bank, a.s.",13,0
178,33,Raiffeisenbank a.s.,5,0
179,33,"Sberbank CZ, a.s.",1,0
180,33,"UniCredit Bank Czech Republic and Slovakia, a.s.",7,0
181,33,"mBank S.A., organizační složka",2,0
182,33,"Československá obchodní banka, a.s.",11,2
183,33,"Česká spořitelna, a.s.",32,1
184,34,Air Bank a.s.,11,1
185,34,Anonymous Bank,1,0
186,34,Equa bank a.s.,6,1
187,34,"Fio banka, a.s.",2,0
188,34,"Komerční banka, a.s.",13,2
189,34,"MONETA Money Bank, a.s.",18,0
190,34,Raiffeisenbank a.s.,5,2
191,34,"Sberbank CZ, a.s.",1,0
192,34,"UniCredit Bank Czech Republic and Slovakia, a.s.",3,1
193,34,"mBank S.A., organizační složka",4,3
194,34,"Československá obchodní banka, a.s.",8,1
195,34,"Česká spořitelna, a.s.",19,0
196,35,Air Bank a.s.,11,2
197,35,Equa bank a.s.,4,0
198,35,"Fio banka, a.s.",10,0
199,35,"Komerční banka, a.s.",10,1
200,35,"MONETA Money Bank, a.s.",11,1
201,35,Raiffeisenbank a.s.,7,1
202,35,"UniCredit Bank Czech Republic and Slovakia, a.s.",6,0
203,35,"mBank S.A., organizační složka",1,1
204,35,"Československá obchodní banka, a.s.",18,1
205,35,"Česká spořitelna, a.s.",24,1
206,36,Air Bank a.s.,10,1
207,36,Anonymous Bank,1,0
208,36,Equa bank a.s.,6,0
209,36,"Fio banka, a.s.",4,0
210,36,"Komerční banka, a.s.",11,1
211,36,"MONETA Money Bank, a.s.",9,1
212,36,Raiffeisenbank a.s.,6,0
213,36,"UniCredit Bank Czech Republic and Slovakia, a.s.",2,0
214,36,"mBank S.A., organizační složka",4,0
215,36,"Československá obchodní banka, a.s.",8,1
216,36,"Česká spořitelna, a.s.",31,6
217,37,Air Bank a.s.,11,0
218,37,Anonymous Bank,1,0
219,37,Equa bank a.s.,4,2
220,37,"Fio banka, a.s.",5,1
221,37,"Komerční banka, a.s.",9,0
222,37,"MONETA Money Bank, a.s.",13,0
223,37,Raiffeisenbank a.s.,3,0
224,37,"Sberbank CZ, a.s.",1,0
225,37,"UniCredit Bank Czech Republic and Slovakia, a.s.",4,0
226,37,"mBank S.A., organizační složka",1,0
227,37,"Československá obchodní banka, a.s.",8,0
