,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,age_range,GENDER,NAZOKRESU
52620,78391,31770,12000.0,Raiffeisenbank a.s.,45,Muž,1,37,29,0,1,0,1,43 - 55,0,Olomouc
74708,66601,35000,5000.0,"Česká spořitelna, a.s.",56,Žena,1,78,87,0,1,0,0,56 - 68,1,Brno-venkov
25339,78901,24000,10000.0,"MONETA Money Bank, a.s.",42,Muž,1,89,58,1,1,0,1,43 - 55,0,umperk
30943,58001,20000,5000.0,"Fio banka, a.s.",53,Žena,0,77,91,0,0,0,0,43 - 55,1,Havlíčkův Brod
25349,78901,24000,10000.0,"MONETA Money Bank, a.s.",42,Muž,1,89,58,1,1,0,1,43 - 55,0,umperk
25348,78901,24000,10000.0,"MONETA Money Bank, a.s.",42,Muž,1,89,58,1,1,0,1,43 - 55,0,umperk
25340,78901,24000,10000.0,"MONETA Money Bank, a.s.",42,Muž,1,89,58,1,1,0,1,43 - 55,0,umperk
52618,78391,31770,12000.0,Raiffeisenbank a.s.,45,Muž,1,37,29,0,1,0,1,43 - 55,0,Olomouc
52619,78391,31770,12000.0,Raiffeisenbank a.s.,45,Muž,1,37,29,0,1,0,1,43 - 55,0,Olomouc
74707,66601,35000,5000.0,"Česká spořitelna, a.s.",56,Žena,1,78,87,0,1,0,0,56 - 68,1,Brno-venkov
18436,10000,31830,15000.0,Raiffeisenbank a.s.,47,Muž,1,37,20,1,1,0,1,43 - 55,0,Hlavní město Praha
18437,10000,31830,15000.0,Raiffeisenbank a.s.,47,Muž,1,37,20,1,1,0,1,43 - 55,0,Hlavní město Praha
23862,19000,30000,15000.0,Air Bank a.s.,43,Muž,1,212,67,0,1,0,0,43 - 55,0,Hlavní město Praha
72963,41002,24000,10000.0,"Komerční banka, a.s.",44,Muž,1,160,10,0,0,0,0,43 - 55,0,Litoměřice
72964,41002,24000,10000.0,"Komerční banka, a.s.",44,Muž,1,160,10,0,0,0,0,43 - 55,0,Litoměřice
72976,41002,24000,10000.0,"Komerční banka, a.s.",44,Muž,1,160,10,0,0,0,0,43 - 55,0,Litoměřice
72962,41002,24000,10000.0,"Komerční banka, a.s.",44,Muž,1,160,10,0,0,0,0,43 - 55,0,Litoměřice
72965,41002,24000,10000.0,"Komerční banka, a.s.",44,Muž,1,160,10,0,0,0,0,43 - 55,0,Litoměřice
23859,19000,30000,15000.0,Air Bank a.s.,43,Muž,1,212,67,0,1,0,0,43 - 55,0,Hlavní město Praha
46971,79201,27700,15000.0,Raiffeisenbank a.s.,42,Žena,1,37,45,0,1,0,1,43 - 55,1,Bruntál
18374,16000,33000,10000.0,"Česká spořitelna, a.s.",46,Muž,1,89,72,1,1,0,1,43 - 55,0,Hlavní město Praha
18373,16000,33000,10000.0,"Česká spořitelna, a.s.",46,Muž,1,89,72,1,1,0,1,43 - 55,0,Hlavní město Praha
18372,16000,33000,10000.0,"Česká spořitelna, a.s.",46,Muž,1,89,72,1,1,0,1,43 - 55,0,Hlavní město Praha
18377,16000,33000,10000.0,"Česká spořitelna, a.s.",46,Muž,1,89,72,1,1,0,1,43 - 55,0,Hlavní město Praha
18376,16000,33000,10000.0,"Česká spořitelna, a.s.",46,Muž,1,89,72,1,1,0,1,43 - 55,0,Hlavní město Praha
