NAZCOBCE;PSC;NAZPOST;KODOKRESU;NAZOKRESU;NAZOBCE
Abertamy;36235;Abertamy;3403;Karlovy Vary;Abertamy
Adamov;54232;Úpice;3610;Trutnov;Trutnov
Adamov;67904;Adamov 1;3701;Blansko;Adamov
Adamov;28601;Èáslav;3205;Kutná Hora;Adamov
Adamov;37371;Rudolfov;3301;Èeské Budìjovice;Adamov
Adolfovice;79001;Jeseník 1;3811;Jeseník;Bìlá pod Pradìdem
Albeø;37833;Nová Bystøice;3303;Jindøichùv Hradec;Nová Bystøice
Albeøice;36452;®lutice;3403;Karlovy Vary;Verušièky
Alberovice;25765;Èechtice;3201;Benešov;Loket
Albrechtice;34201;Sušice 1;3404;Klatovy;Sušice
Albrechtice;38901;Vodòany;3307;Strakonice;Drahonice
Albrechtice;28401;Kutná Hora 1;3205;Kutná Hora;Malešov
Albrechtice;46345;Pìnèín u Liberce;3505;Liberec;Pìnèín
Albrechtice;59257;Rozsochy;3714;®ïár nad Sázavou;Rozsochy
Albrechtice;56301;Lanškroun;3611;Ústí nad Orlicí;Albrechtice
Albrechtice;73543;Albrechtice u Èeského Tìšína;3803;Karviná;Albrechtice
Albrechtice nad Orlicí;51722;Albrechtice nad Orlicí;3607;Rychnov nad Knìnou;Albrechtice nad Orlicí
Albrechtice nad Vltavou;39816;Albrechtice nad Vltavou;3305;Písek;Albrechtice nad Vltavou
Albrechtice u Frıdlantu;46331;Chrastava;3505;Liberec;Frıdlant
Albrechtice u Rımaøova;79351;Bøidlièná;3801;Bruntál;Bøidlièná
Albrechtice v Jizerskıch horách;46843;Albrechtice v Jizerskıch horách;3504;Jablonec nad Nisou;Albrechtice v Jizerskıch horách
Albrechtièky;74255;Albrechtièky;3804;Novı Jièín;Albrechtièky
Albrechtovice;38301;Prachatice;3306;Prachatice;Záblatí
Aleje-Zátiší;35002;Cheb 2;3402;Cheb;Františkovy Láznì
Alenina Lhota;39133;Jistebnice;3308;Tábor;Jistebnice
Alexovice;66491;Ivanèice;3703;Brno-venkov;Ivanèice
Alojzov;79804;Urèice;3709;Prostìjov;Alojzov
Alšovice;46821;Bratøíkov;3504;Jablonec nad Nisou;Pìnèín
Albìtín;34004;®elezná Ruda;3404;Klatovy;®elezná Ruda
Amalín;79397;Slezské Rudoltice;3801;Bruntál;Slezské Rudoltice
Amerika;25901;Votice;3201;Benešov;Votice
Andìlice;33901;Klatovy 1;3404;Klatovy;Dolany
Andìlka;46373;Habartice;3505;Liberec;Višòová
Andìlská Hora;46331;Chrastava;3505;Liberec;Chrastava
Andìlská Hora;36471;Bochov;3403;Karlovy Vary;Andìlská Hora
Andìlská Hora;79331;Svìtlá Hora;3801;Bruntál;Andìlská Hora
Andìl Stráce;46342;Hodkovice nad Mohelkou;3504;Jablonec nad Nisou;Frıdštejn
Anenská Studánka;56301;Lanškroun;3611;Ústí nad Orlicí;Anenská Studánka
Anenská Ves;35709;Habartov;3409;Sokolov;Krajková
Annín;34201;Sušice 1;3404;Klatovy;Dlouhá Ves
Annín-Tovaèov II x);75101;Tovaèov;3808;Pøerov;Tovaèov
Annovice;37821;Kardašova Øeèice;3303;Jindøichùv Hradec;Drunèe
Antonínov;46844;Josefùv Dùl;3504;Jablonec nad Nisou;Josefùv Dùl
Antonínova Vıšina;35002;Cheb 2;3402;Cheb;Vojtanov
Antonínùv Dùl;58601;Jihlava 1;3707;Jihlava;Jihlava
Antonka;39470;Kamenice nad Lipou;3304;Pelhøimov;Kamenice nad Lipou
Antošovice;71100;Ostrava 11;3807;Ostrava-mìsto;Ostrava
Archlebov;69633;Archlebov;3706;Hodonín;Archlebov
Arneštovice;39501;Pacov;3304;Pelhøimov;Arneštovice
Arnoldov;36251;Jáchymov;3403;Karlovy Vary;Ostrov
Arnolec;58827;Jamné u Jihlavy;3707;Jihlava;Arnolec
Arnoltice;79351;Bøidlièná;3805;Olomouc;Huzová
Arnoltice;46401;Frıdlant v Èechách;3505;Liberec;Bulovka
Arnoltice;40714;Arnoltice u Dìèína;3502;Dìèín;Arnoltice
Arnoltov;35601;Sokolov 1;3409;Sokolov;Bøezová
Arnoštka;38501;Vimperk;3306;Prachatice;Vimperk
Arnoštov;50782;Pecka;3604;Jièín;Pecka
Arnoštov;38301;Prachatice;3306;Prachatice;Køišanov
Arnoštovice;25789;Heømanièky;3201;Benešov;Heømanièky
Arnultovice;47301;Novı Bor;3501;Èeská Lípa;Novı Bor
Arnultovice;54372;Rudník u Vrchlabí;3610;Trutnov;Rudník
Arnultovice;79383;Jindøichov u Krnova;3801;Bruntál;Jindøichov
Arnultovice;40002;Ústí nad Labem 2;3510;Ústí nad Labem;Velké Chvojno
Artolec;37833;Nová Bystøice;3303;Jindøichùv Hradec;Nová Bystøice
Aš;35201;Aš 1;3402;Cheb;Aš
Baba;25601;Benešov u Prahy;3201;Benešov;Benešov
Babèice;39155;Chınov;3308;Tábor;Vodice
Babèice;25601;Benešov u Prahy;3201;Benešov;Struhaøov
Babí;54101;Trutnov 1;3610;Trutnov;Trutnov
Babí;54701;Náchod 1;3605;Náchod;Náchod
Babice;75643;Kelè;3810;Vsetín;Kelè
Babice;34012;Švihov;3406;Plzeò-jih;Kbel
Babice;67544;Lesonice;3710;Tøebíè;Babice
Babice;38411;Netolice;3306;Prachatice;Babice
Babice;39501;Pacov;3304;Pelhøimov;Buøenice
Babice;78501;Šternberk 1;3805;Olomouc;Babice
Babice;35301;Mariánské Láznì 1;3402;Cheb;Teplá
Babice;25101;Øíèany u Prahy;3209;Praha-vıchod;Babice
Babice;25753;Vrchotovy Janovice;3201;Benešov;Olbramovice
Babice;50351;Chlumec nad Cidlinou;3602;Hradec Králové;Babice
Babice;58001;Havlíèkùv Brod 1;3601;Havlíèkùv Brod;Okrouhlice
Babice;34525;Hostouò u Horšovského Tına;3401;Domalice;Hostouò
Babice;68703;Babice u Uherského Hradištì;3711;Uherské Hradištì;Babice
Babice (èást);25167;Pyšely;3201;Benešov;Øehenice
Babice (èást);25168;Kamenice;3201;Benešov;Øehenice
Babice nad Svitavou;66401;Bílovice nad Svitavou;3703;Brno-venkov;Babice nad Svitavou
Babice u Rosic;66484;Zastávka u Brna;3703;Brno-venkov;Babice u Rosic
Babín;34101;Horaïovice;3404;Klatovy;Horaïovice
Babín;39470;Kamenice nad Lipou;3304;Pelhøimov;Tìmice
Babina;33101;Plasy;3407;Plzeò-sever;Plasy
Babiny I;40327;Maleèov;3510;Ústí nad Labem;Maleèov
Babiny II;40002;Ústí nad Labem 2;3510;Ústí nad Labem;Homole u Panny
Babolky;67961;Letovice;3701;Blansko;Letovice
Babylon;34401;Domalice 1;3401;Domalice;Babylon
Baèalky;50723;Libáò;3604;Jièín;Baèalky
Baèetín;51801;Dobruška;3607;Rychnov nad Knìnou;Baèetín
Baèice;67555;Hrotovice;3710;Tøebíè;Baèice
Baèkov;58291;Svìtlá nad Sázavou;3601;Havlíèkùv Brod;Baèkov
Baèkovice;67532;Tøebelovice;3710;Tøebíè;Baèkovice
Bacov;50601;Jièín 1;3604;Jièín;Mladìjov
Baèov;68001;Boskovice;3701;Blansko;Boskovice
Bácovice;39301;Pelhøimov;3304;Pelhøimov;Bácovice
Bahno;28401;Kutná Hora 1;3205;Kutná Hora;Èerníny
Bakov;27371;Zlonice;3203;Kladno;Beøovice
Bakov;54701;Náchod 1;3605;Náchod;Studnice
Bakov nad Jizerou;29401;Bakov nad Jizerou;3207;Mladá Boleslav;Bakov nad Jizerou
Baldovec;79861;Drahany;3709;Prostìjov;Rozstání
Baliny;59401;Velké Meziøíèí;3714;®ïár nad Sázavou;Baliny
Balková;33165;®ihle;3407;Plzeò-sever;Tis u Blatna
Balkova Lhota;39131;Draice;3308;Tábor;Balkova Lhota
Balkovy;33901;Klatovy 1;3404;Klatovy;Dolany
Banín;56802;Svitavy 2;3609;Svitavy;Banín
Báòov;25789;Heømanièky;3201;Benešov;Ješetice
Bánov;68754;Bánov u Uherského Brodu;3711;Uherské Hradištì;Bánov
Báòovice;38001;Daèice;3303;Jindøichùv Hradec;Báòovice
Bantice;67161;Prosimìøice;3713;Znojmo;Bantice
Barchov;53002;Pardubice 2;3606;Pardubice;Barchov
Barchov;50401;Novı Bydov;3602;Hradec Králové;Barchov
Barchovice;28163;Kostelec nad Èernımi Lesy;3204;Kolín;Barchovice
Barchùvek;50401;Novı Bydov;3602;Hradec Králové;Mìník
Barèov;25786;Milièín;3201;Benešov;Neustupov
Baøice;76701;Kromìøí 1;3708;Kromìøí;Baøice-Velké Tìšany
Barochov;25167;Pyšely;3201;Benešov;Øehenice
Barovice;58301;Chotìboø;3601;Havlíèkùv Brod;Libice nad Doubravou
Bartoòov;78963;Ruda nad Moravou;3809;Šumperk;Ruda nad Moravou
Bartošovice;74254;Bartošovice;3804;Novı Jièín;Bartošovice
Bartošovice v Orlickıch horách;51761;Rokytnice v Orlickıch horách;3607;Rychnov nad Knìnou;Bartošovice v Orlickıch horách
Bartoušov;50601;Jièín 1;3604;Jièín;Jièínìves
Bartoušov;58001;Havlíèkùv Brod 1;3601;Havlíèkùv Brod;Bartoušov
Bartovice (èást);71700;Ostrava 17;3807;Ostrava-mìsto;Ostrava
Bartovice (èást);73934;Šenov u Ostravy;3807;Ostrava-mìsto;Ostrava
Bartultovice;79399;Osoblaha;3801;Bruntál;Vysoká
Baška;73901;Baška;3802;Frıdek-Místek;Baška
Bašnice;50801;Hoøice v Podkrkonoší;3604;Jièín;Bašnice
Baš;25085;Baš;3209;Praha-vıchod;Baš
Bašta;28123;Starı Kolín;3204;Kolín;Starı Kolín
Batelov;58851;Batelov;3707;Jihlava;Batelov
Batín;50722;Støevaè;3604;Jièín;Støevaè
Batòovice (èást);54232;Úpice;3610;Trutnov;Batòovice
Batòovice (èást);54234;Malé Svatoòovice;3610;Trutnov;Batòovice
Batòovice (èást);54237;Vıdejní místo Batòovice;3610;Trutnov;Batòovice
Batouchovice;67505;Rudíkov;3710;Tøebíè;Bochovice
Bavorov;38773;Bavorov;3307;Strakonice;Bavorov
Bavorovice;37341;Hluboká nad Vltavou;3301;Èeské Budìjovice;Hluboká nad Vltavou
Bavory;69201;Mikulov na Moravì;3704;Bøeclav;Bavory
Bavorynì;26751;Zdice;3202;Beroun;Bavorynì
Bdenìves;33032;Kozolupy;3407;Plzeò-sever;Bdenìves
Bdín;27054;Øevnièov;3212;Rakovník;Bdín
Bìchárky;50732;Kopidlno;3604;Jièín;Bìchary
Bìchary;50732;Kopidlno;3604;Jièín;Bìchary
Bechlejovice-Dìèín XXVI x);40502;Dìèín 2;3502;Dìèín;Dìèín
Bechlín;41186;Bechlín;3506;Litomìøice;Bechlín
Bechov;29404;Dolní Bousov;3207;Mladá Boleslav;Dolní Bousov
Bìchovice;19011;Praha 911;3100;Hlavní mìsto Praha;Praha
Bechynì;39165;Bechynì;3308;Tábor;Bechynì
Bechyòská Smoleè;39165;Bechynì;3308;Tábor;Sudomìøice u Bechynì
Beèice;39175;Malšice;3308;Tábor;Beèice
Beèice;37501;Tın nad Vltavou 1;3301;Èeské Budìjovice;Beèice
Beèov;43001;Chomutov 1;3503;Chomutov;Blatno
Beèov;43526;Beèov u Mostu;3508;Most;Beèov
Beèov nad Teplou;36464;Beèov nad Teplou;3403;Karlovy Vary;Beèov nad Teplou
Beèváry;28143;Beèváry;3204;Kolín;Beèváry
Bedihoš;79821;Bedihoš;3709;Prostìjov;Bedihoš
Bedlno;27033;Jesenice u Rakovníka;3212;Rakovník;Jesenice
Bednárec;37842;Nová Vèelnice;3303;Jindøichùv Hradec;Bednárec
Bednáreèek;37842;Nová Vèelnice;3303;Jindøichùv Hradec;Bednáreèek
Bedrè;25601;Benešov u Prahy;3201;Benešov;Benešov
Bedøichov;39501;Pacov;3304;Pelhøimov;Pacov
Bedøichov;78801;Oskava;3809;Šumperk;Oskava
Bedøichov;67971;Lysice;3701;Blansko;Bedøichov
Bedøichov;46812;Bedøichov;3504;Jablonec nad Nisou;Bedøichov
Bedøichov;28504;Uhlíøské Janovice;3205;Kutná Hora;Nepomìøice
Bedøichov;54351;Špindlerùv Mlın;3610;Trutnov;Špindlerùv Mlın
Bedøichov (èást);37401;Trhové Sviny;3301;Èeské Budìjovice;Horní Stropnice
Bedøichov (èást);37335;Horní Stropnice;3301;Èeské Budìjovice;Horní Stropnice
Bedøichovice;25703;Jankov;3201;Benešov;Jankov
Bedøichovice;44001;Louny 1;3507;Louny;Høíškov
Bedøichovice;66451;Šlapanice u Brna;3703;Brno-venkov;Šlapanice
Bedøichovka-Liberec XXXIV x);46001;Liberec 1;3505;Liberec;Liberec
Bedøichùv Svìtec;43401;Most 1;3508;Most;Bìlušice
Bìhánky (èást);41702;Dubí;3509;Teplice;Dubí
Bìhánky (èást);41701;Dubí u Teplic 1;3509;Teplice;Dubí
Bìhaøov;34021;Janovice nad Úhlavou;3404;Klatovy;Bìhaøov
Bìhaøovice;67139;Vıdejní místo Bìhaøovice;3713;Znojmo;Bìhaøovice
Bìlá;53854;Lue;3603;Chrudim;Lue
Bìlá;74723;Bolatice;3806;Opava;Bìlá
Bìlá;51401;Jilemnice;3608;Semily;Bìlá
Bìlá;38451;Volary;3306;Prachatice;Nová Pec
Bìlá;39301;Pelhøimov;3304;Pelhøimov;Bìlá
Bìlá;38241;Kaplice 1;3302;Èeskı Krumlov;Malonty
Bìlá;51101;Turnov 1;3608;Semily;Mírová pod Kozákovem
Bìlá;79001;Jeseník 1;3811;Jeseník;Bìlá pod Pradìdem
Bìlá;58401;Ledeè nad Sázavou;3601;Havlíèkùv Brod;Bìlá
Bìlá;51601;Rychnov nad Knìnou;3607;Rychnov nad Knìnou;Liberk
Bìlá-Dìèín X x);40502;Dìèín 2;3502;Dìèín;Dìèín
Bìlá nad Radbuzou;34526;Bìlá nad Radbuzou;3401;Domalice;Bìlá nad Radbuzou
